#,Dataset title,"Domain Name / link (if highlighted in red, it's a duplicate! So don't add it...)","License (default is UNKNOWN)",Release (Issue date) ,Glottocode,Language(s) (or family),Dialect/accent (if known),Subject,Format,Collection Style (Manual Curation vs Crowdsourced(web)) ?,What it is / why we want it (5-25 words),Volume (estimates),"Contains Personal Information? (-1=unlikely, 0=neutral, 1=likely)",Owner,Usage and relation to other datasets ,Comments
82,pro y contra,http://proycontra.com.pe/,unknown,multiple releases,,es,peru,general news,text (web),manual,,unknown,unknown,pro y contra,,
83,vietnamplus (spanish),http://es.vietnamplus.vn/,unknown,multiple releases,,es,vietnam,general news,text (web),manual,,unknown,unknown,vietnamplus (spanish),,
84,centro de documentacion e informacion bolivia,https://cedib.org,unknown,multiple releases,,es,bolivia,general news,text (web),manual,,unknown,unknown,centro de documentacion e informacion bolivia,,
85,sarriguren web,https://sarrigurenweb.com/,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,sarriguren web,,
86,motorpasion,https://www.motorpasion.com/,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,motorpasion,,
87,noticias de la ciencia,https://noticiasdelaciencia.com/,unknown,multiple releases,,es,spain,science,text (web),manual,,unknown,unknown,noticias de la ciencia,,
88,aplatanaonews - todo está en el contenido!,https://aplatanaonews.com/,unknown,multiple releases,,es,domenican republic,general news,text (web),manual,,unknown,unknown,aplatanaonews - todo está en el contenido!,,
89,subrayado hd,http://www.subrayado.com.uy/site/home.aspx,unknown,multiple releases,,es,uruguay,general news,text (web),manual,,unknown,unknown,subrayado hd,,
90,peru',http://peru.com/,unknown,multiple releases,,es,peru,general news,text (web),manual,,unknown,unknown,peru',,
91,diario26,http://www.diario26.com/general.html,unknown,multiple releases,,es,argentina,general news,text (web),manual,,unknown,unknown,diario26,,
92,diario de navarra,http://www.diariodenavarra.es/,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,diario de navarra,,
93,canal antigua,https://canalantigua.tv/,unknown,multiple releases,,es,gt,general news,text (web),manual,,unknown,unknown,canal antigua,,
94,real instituto elcano,http://www.realinstitutoelcano.org/wps/portal/rielcano_es,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,real instituto elcano,,
95,el mañana - tamaulipas,http://www.elmanana.com/,unknown,multiple releases,,es,mexico,general news,text (web),manual,,unknown,unknown,el mañana - tamaulipas,,
96,abc digital - paraguay,http://www.abc.com.py/,unknown,multiple releases,,es,paraguay,general news,text (web),manual,,unknown,unknown,abc digital - paraguay,,
97,ielektro,https://ielektro.es/,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,ielektro,,
98,vtv uruguay,http://www.vtv.com.uy/,unknown,multiple releases,,es,uruguay,general news,text (web),manual,,unknown,unknown,vtv uruguay,,
99,periódico correo,http://www.periodicocorreo.com.mx/,unknown,multiple releases,,es,mexico,general news,text (web),manual,,unknown,unknown,periódico correo,,
100,aporrea,http://www.aporrea.org/,unknown,multiple releases,,es,venezuela,general news,text (web),manual,,unknown,unknown,aporrea,,
101,ahora,http://www.ahora.cu/,unknown,multiple releases,,es,cuba,general news,text (web),manual,,unknown,unknown,ahora,,
102,el ojo digital,http://www.elojodigital.com/,unknown,multiple releases,,es,argentina,general news,text (web),manual,,unknown,unknown,el ojo digital,,
103,el mostrador,http://www.elmostrador.cl/,unknown,multiple releases,,es,cl,general news,text (web),manual,,unknown,unknown,el mostrador,,
104,food and agriculture organization of the united nations (spanish),http://www.fao.org/home/es/,unknown,multiple releases,,es,italy,general news,text (web),manual,,unknown,unknown,food and agriculture organization of the united nations (spanish),,
105,arpa emc -  spanish,https://arpaemc.com/noticias/,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,arpa emc -  spanish,,
106,maldita,https://maldita.es/,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,maldita,,
107,puerto canarias,https://puertocanarias.com/index.php/es,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,puerto canarias,,
108,planv,https://www.planv.com.ec/,unknown,multiple releases,,es,ecuador,general news,text (web),manual,,unknown,unknown,planv,,
109,diario del alto aragon,https://www.diariodelaltoaragon.es/,unknown,multiple releases,,es,spain,european news,text (web),manual,,unknown,unknown,diario del alto aragon,,
110,onemi: ministerio del interior y seguridad pública,http://www.onemi.cl/,unknown,multiple releases,,es,cl,general news,text (web),manual,,unknown,unknown,onemi: ministerio del interior y seguridad pública,,
111,cinco de septiembre,http://www.5septiembre.cu/?lang=es,unknown,multiple releases,,es,cuba,general news,text (web),manual,,unknown,unknown,cinco de septiembre,,
112,maillotmag,https://www.maillotmag.com/,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,maillotmag,,
113,abc.es - sevilla - andalucía,http://www.abc.es/,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,abc.es - sevilla - andalucía,,
114,observatorio de violencia,https://observatoriodeviolencia.org.ve/,unknown,multiple releases,,es,venezuela,general news,text (web),manual,,unknown,unknown,observatorio de violencia,,
115,24ora,https://espanol.24ora.com/,unknown,multiple releases,,es,aruba,general news,text (web),manual,,unknown,unknown,24ora,,
116,la tribuna,http://www.latribuna.hn/,unknown,multiple releases,,es,honduras,general news,text (web),manual,,unknown,unknown,la tribuna,,
117,radio corporación,https://radio-corporacion.com/,unknown,multiple releases,,es,nicaragua,general news,text (web),manual,,unknown,unknown,radio corporación,,
118,el heraldo,http://www.elheraldo.hn/,unknown,multiple releases,,es,honduras,general news,text (web),manual,,unknown,unknown,el heraldo,,
119,horapunta,https://www.horapunta.com/tecnopunta,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,horapunta,,
